state,dates,retail,grocery,parks,transit,workplace,residential,average_mobility
India,28 June,-58.0,1.0,-49.0,-38.0,-33.0,15.0,-32.0
India,29 June,-57.0,-1.0,-49.0,-39.0,-33.0,15.0,-32.5
India,30 June,-55.0,0.0,-48.0,-38.0,-35.0,14.0,-32.0
India,01 July,-56.0,0.0,-49.0,-38.0,-33.0,14.0,-31.75
India,02 July,-56.0,-2.0,-48.0,-39.0,-34.0,15.0,-32.75
India,03 July,-57.0,0.0,-49.0,-39.0,-33.0,16.0,-32.25
India,04 July,-57.0,0.0,-49.0,-39.0,-33.0,16.0,-32.25
India,05 July,-57.0,0.0,-49.0,-39.0,-33.0,16.0,-32.25
India,06 July,-56.0,-1.0,-49.0,-40.0,-33.0,15.0,-32.5
India,07 July,-56.0,-2.0,-48.0,-39.0,-35.0,15.0,-33.0
Andaman and Nicobar Islands,15 February,1.0,-9.0,5.0,-2.0,6.0,2.0,-1.0
Andaman and Nicobar Islands,16 February,0.0,-6.0,1.0,2.0,4.0,,0.0
Andaman and Nicobar Islands,17 February,-1.0,2.0,5.0,1.0,6.0,1.0,2.0
Andaman and Nicobar Islands,18 February,-2.0,12.0,-4.0,-1.0,4.0,3.0,3.25
Andaman and Nicobar Islands,19 February,-5.0,9.0,-6.0,2.0,4.0,1.0,2.5
Andaman and Nicobar Islands,20 February,-2.0,-4.0,3.0,-1.0,1.0,1.0,-1.5
Andaman and Nicobar Islands,21 February,-1.0,-9.0,1.0,1.0,-9.0,4.0,-4.5
Andaman and Nicobar Islands,22 February,-1.0,-9.0,1.0,1.0,-9.0,4.0,-4.5
Andaman and Nicobar Islands,23 February,-1.0,-9.0,1.0,1.0,-9.0,4.0,-4.5
Andaman and Nicobar Islands,24 February,-3.0,-19.0,-2.0,8.0,4.0,0.0,-2.5
Andaman and Nicobar Islands,25 February,-2.0,-2.0,-5.0,3.0,3.0,2.0,0.5
Andaman and Nicobar Islands,26 February,-6.0,-14.0,-5.0,1.0,3.0,0.0,-4.0
Andaman and Nicobar Islands,27 February,-4.0,-14.0,-7.0,0.0,1.0,1.0,-4.25
Andaman and Nicobar Islands,28 February,-2.0,-21.0,-13.0,0.0,5.0,1.0,-4.5
Andaman and Nicobar Islands,29 February,-2.0,-21.0,-13.0,0.0,5.0,1.0,-4.5
Andaman and Nicobar Islands,01 March,-2.0,-21.0,-13.0,0.0,5.0,1.0,-4.5
Andaman and Nicobar Islands,02 March,-2.0,-17.0,-2.0,-3.0,6.0,0.0,-4.0
Andaman and Nicobar Islands,03 March,-12.0,-18.0,-6.0,-6.0,4.0,2.0,-8.0
Andaman and Nicobar Islands,04 March,-7.0,-14.0,-2.0,-1.0,4.0,2.0,-4.5
Andaman and Nicobar Islands,05 March,-6.0,-20.0,0.0,0.0,3.0,1.0,-5.75
Andaman and Nicobar Islands,06 March,-7.0,-25.0,-4.0,0.0,3.0,2.0,-7.25
Andaman and Nicobar Islands,07 March,-7.0,-25.0,-4.0,0.0,3.0,2.0,-7.25
Andaman and Nicobar Islands,08 March,-7.0,-25.0,-4.0,0.0,3.0,2.0,-7.25
Andaman and Nicobar Islands,09 March,-8.0,-17.0,0.0,-3.0,-6.0,2.0,-8.5
Andaman and Nicobar Islands,10 March,-36.0,-38.0,-12.0,-19.0,-56.0,13.0,-37.25
Andaman and Nicobar Islands,11 March,-14.0,-16.0,-8.0,-1.0,0.0,0.0,-7.75
Andaman and Nicobar Islands,12 March,-9.0,-12.0,-7.0,-2.0,1.0,2.0,-5.5
Andaman and Nicobar Islands,13 March,-10.0,-19.0,-10.0,-3.0,4.0,2.0,-7.0
Andaman and Nicobar Islands,14 March,-10.0,-19.0,-10.0,-3.0,4.0,2.0,-7.0
Andaman and Nicobar Islands,15 March,-10.0,-19.0,-10.0,-3.0,4.0,2.0,-7.0
Andaman and Nicobar Islands,16 March,-18.0,-11.0,-10.0,-7.0,-1.0,2.0,-9.25
Andaman and Nicobar Islands,17 March,-24.0,-20.0,-25.0,-13.0,-4.0,4.0,-15.25
Andaman and Nicobar Islands,18 March,-21.0,-20.0,-31.0,-14.0,-9.0,1.0,-16.0
Andaman and Nicobar Islands,19 March,-16.0,-4.0,-21.0,-14.0,-7.0,1.0,-10.25
Andaman and Nicobar Islands,20 March,-50.0,-43.0,-50.0,-31.0,-29.0,12.0,-38.25
Andaman and Nicobar Islands,21 March,-50.0,-43.0,-50.0,-31.0,-29.0,12.0,-38.25
Andaman and Nicobar Islands,22 March,-50.0,-43.0,-50.0,-31.0,-29.0,12.0,-38.25
Andaman and Nicobar Islands,23 March,-61.0,-43.0,-60.0,-45.0,-44.0,21.0,-48.25
Andaman and Nicobar Islands,24 March,-67.0,-48.0,-62.0,-46.0,-52.0,23.0,-53.25
Andaman and Nicobar Islands,25 March,-80.0,-76.0,-68.0,-64.0,-63.0,,-70.75
Andaman and Nicobar Islands,26 March,-80.0,-80.0,-65.0,-63.0,-66.0,,-72.25
