dates,state,cum_positive_cases,cum_positivity_rate,cum_recovered,cum_deceased,daily_deceased,daily_positive_cases,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,daily_tests,cum_tested,test_per_million,daily_cases_per_million,daily_tests_per_million,daily_tests_ma,daily_deceased_ma
21 April,Mizoram,1,0.7407407407407407,,,,,,,,3,135,108.93738440533099,,2.420830764562911,8.8,
22 April,Mizoram,1,0.7407407407407407,,,,,,,,,135,108.93738440533099,,,10.25,
23 April,Mizoram,1,0.7299270072992701,,,,,,,,2,137,110.55127158170626,,1.613887176375274,8.6,
24 April,Mizoram,1,0.7299270072992701,,,,,,,,,137,110.55127158170626,,,8.6,
25 April,Mizoram,1,0.7299270072992701,,,,,,,,,137,110.55127158170626,,,8.75,
26 April,Mizoram,1,0.684931506849315,,,,,,,,9,146,117.813763875395,,7.262492293688733,7.5,
27 April,Mizoram,1,0.684931506849315,,,,,,,,,146,117.813763875395,,,4.666666666666667,
28 April,Mizoram,1,0.6329113924050633,,,,,,,,12,158,127.49708693364664,,9.683323058251643,7.666666666666667,
29 April,Mizoram,1,0.5586592178770949,,,,,,,,21,179,144.44290228558702,,16.945815351940375,11.0,
30 April,Mizoram,1,0.5555555555555556,,,,,,,,1,180,145.24984587377466,,0.806943588187637,10.75,
01 May,Mizoram,1,0.5555555555555556,,,,,,,,,180,145.24984587377466,,,10.75,
02 May,Mizoram,1,0.546448087431694,,,,,,,,3,183,147.67067663833757,,2.420830764562911,9.2,
03 May,Mizoram,1,0.546448087431694,,,,,,,,,183,147.67067663833757,,,9.25,
04 May,Mizoram,1,0.546448087431694,,,,,,,,,183,147.67067663833757,,,9.25,
05 May,Mizoram,1,0.5319148936170213,1,,,,,,,5,188,151.70539457927575,,4.034717940938185,7.5,
06 May,Mizoram,1,0.5128205128205128,1,,,,,,,7,195,157.3539996965892,,5.648605117313459,4.0,
07 May,Mizoram,1,0.5076142131979695,1,,,,,,,2,197,158.9678868729645,,1.613887176375274,4.25,
08 May,Mizoram,1,0.5025125628140703,1,,,,,,,2,199,160.58177404933977,,1.613887176375274,3.8,
09 May,Mizoram,1,0.4975124378109453,1,,,,,,,2,201,162.19566122571504,,1.613887176375274,3.6,
10 May,Mizoram,1,0.4975124378109453,1,,,,,,,,201,162.19566122571504,,,3.6,
11 May,Mizoram,1,0.4854368932038835,1,,,,,,,5,206,166.23037916665322,,4.034717940938185,3.8333333333333335,
12 May,Mizoram,1,0.44642857142857145,1,,,,,,,18,224,180.7553637540307,,14.524984587377466,6.0,
13 May,Mizoram,1,0.44642857142857145,1,,,,,,,,224,180.7553637540307,,,5.8,
14 May,Mizoram,1,0.3663003663003663,1,,,,,,,49,273,220.29559957522488,,39.54023582119421,15.2,
15 May,Mizoram,1,0.3663003663003663,1,,,,,,,,273,220.29559957522488,,,18.5,
16 May,Mizoram,1,0.3546099290780142,1,,,,,,,9,282,227.55809186891364,,7.262492293688733,20.25,
17 May,Mizoram,1,0.3546099290780142,1,,,,,,,,282,227.55809186891364,,,20.25,
18 May,Mizoram,1,0.33222591362126247,1,,,,,,,19,301,242.89002004447872,,15.331928175565103,23.75,
19 May,Mizoram,1,0.3194888178913738,1,,,,,,,12,313,252.57334310273038,,9.683323058251643,22.25,
20 May,Mizoram,1,0.31746031746031744,1,,,,,,,2,315,254.18723027910565,,1.613887176375274,18.2,
21 May,Mizoram,1,0.3125,1,,,,,,,5,320,258.2219482200438,,4.034717940938185,9.4,
22 May,Mizoram,1,0.30864197530864196,1,,,,,,,4,324,261.44972257279437,,3.227774352750548,8.5,
23 May,Mizoram,1,0.2976190476190476,1,,,,,,,12,336,271.133045631046,,9.683323058251643,9.0,
24 May,Mizoram,1,0.29239766081871343,1,,,,,,,6,342,275.9747071601719,,4.841661529125822,8.571428571428571,
25 May,Mizoram,1,0.2785515320334262,1,,,,,,,17,359,289.69274815936166,,13.718040999189828,8.285714285714286,
26 May,Mizoram,1,0.228310502283105,1,,,,,,,79,438,353.441291626185,,63.74854346682332,17.857142857142858,
27 May,Mizoram,1,0.228310502283105,1,,,,,,,,438,353.441291626185,,,20.5,
28 May,Mizoram,1,0.1937984496124031,1,,,,,,,78,516,416.3828915048207,,62.941599878635685,32.666666666666664,
29 May,Mizoram,1,0.1890359168241966,1,,,,,,,13,529,426.87315815126,,10.49026664643928,34.166666666666664,
30 May,Mizoram,1,0.1457725947521866,1,,,,,,,157,686,553.563301496719,,126.690143345459,58.333333333333336,
31 May,Mizoram,1,0.1287001287001287,1,,,,,,,91,777,626.9951680217939,,73.43186652507497,72.5,
01 June,Mizoram,1,0.11160714285714286,1,,,,,,,119,896,723.0214550161228,,96.0262869943288,89.5,
02 June,Mizoram,13,1.284584980237154,1,,,12,10.344827586206897,12.0,10.344827586206897,116,1012,816.6269112458887,9.683323058251643,93.60545622976589,95.66666666666667,
03 June,Mizoram,14,1.278538812785388,1,,,1,1.2048192771084338,6.5,6.532663316582915,83,1095,883.6032290654625,0.806943588187637,66.97631781957386,93.85714285714286,
04 June,Mizoram,17,1.263001485884101,1,,,3,1.1952191235059761,5.333333333333333,3.5555555555555554,251,1346,1086.1460697005593,2.420830764562911,202.5428406350969,118.57142857142857,
05 June,Mizoram,24,1.4226437462951986,1,,,7,2.0527859237536656,5.75,2.907711757269279,341,1687,1361.3138332725437,5.648605117313459,275.1677635719842,165.42857142857142,
06 June,Mizoram,24,1.2054244098442994,1,,,,,5.75,2.907711757269279,304,1991,1606.6246840815852,,245.31085080904165,186.42857142857142,
07 June,Mizoram,34,1.5097690941385435,1,,,10,3.8314176245210727,6.6,3.1368821292775664,261,2252,1817.2369605985584,8.06943588187637,210.61227651697325,210.71428571428572,
08 June,Mizoram,42,1.6826923076923077,1,,,8,3.278688524590164,6.833333333333333,3.1635802469135803,244,2496,2014.131196116342,6.455548705501096,196.89423551778341,228.57142857142858,
09 June,Mizoram,88,3.2034947215143794,1,,,46,18.326693227091635,12.5,5.241090146750524,251,2747,2216.674036751439,37.1194050566313,202.5428406350969,247.85714285714286,
10 June,Mizoram,93,3.385511467054969,1,,,5,,13.166666666666666,5.489614243323442,,2747,2216.674036751439,4.034717940938185,,275.3333333333333,
11 June,Mizoram,102,3.236040609137056,1,,,9,2.2222222222222223,14.166666666666666,5.326231691078562,405,3152,2543.486189967432,7.262492293688733,326.81215321599296,301.0,
12 June,Mizoram,104,3.299492385786802,1,,,2,,13.333333333333334,6.287683031869078,,3152,2543.486189967432,1.613887176375274,,293.0,
13 June,Mizoram,110,2.951435470888114,1,,,6,1.0434782608695652,12.285714285714286,4.550691244239632,575,3727,3007.478753175323,4.841661529125822,463.99256320789124,347.2,
14 June,Mizoram,112,2.5883984284723827,1,,,2,0.3333333333333333,11.142857142857142,3.4216867469879517,600,4327,3491.6449060879054,1.613887176375274,484.16615291258216,415.0,
15 June,Mizoram,117,2.3785322219963407,1,,,5,0.8445945945945946,10.714285714285714,2.8064382996285597,592,4919,3969.3555102949863,4.034717940938185,477.7106042070811,484.6,
16 June,Mizoram,121,2.1904417089065893,1,,,4,0.6611570247933884,4.714285714285714,0.9362621534029528,605,5524,4457.556381148506,3.227774352750548,488.20087085352037,555.4,
17 June,Mizoram,121,2.0049710024855014,1,,,,,4.666666666666667,0.9362621534029528,511,6035,4869.904554712389,,412.3481735638825,548.0,
18 June,Mizoram,130,1.9516589100735626,1,,,9,1.4376996805111821,4.666666666666667,0.867244829886591,626,6661,5375.05124091785,7.262492293688733,505.14668620546075,584.8333333333334,
19 June,Mizoram,130,1.7342582710779082,9,,,,,5.2,0.867244829886591,835,7496,6048.849137054527,,673.7978961366769,620.5714285714286,
20 June,Mizoram,140,1.6900048285852245,9,,,10,1.2690355329949239,6.0,0.9342883836810962,788,8284,6684.720684546384,8.06943588187637,635.871547491858,651.0,
21 June,Mizoram,141,1.6173434273916036,9,,,1,0.2304147465437788,5.8,0.9523809523809523,434,8718,7034.9342018198195,0.806943588187637,350.21351727343443,627.2857142857143,
