dates,state,rt_point,rt_sd,rt_l95,rt_u95,rt_l50,rt_u50,cases_mean,cases_sd,cases_dates
20 April,kl,1.168731369262928,0.14471969850548674,0.8850865489801142,1.4523761895457419,1.0711193798179621,1.2663433587078938,4.1,2.1656407827707715,04-14-2020
21 April,kl,1.173135242447764,0.14131369401276275,0.8961660547305095,1.4501044301650183,1.0778205689730955,1.2684499159224323,3.9,1.8138357147217055,04-15-2020
22 April,kl,1.1846862255875241,0.13861386105111193,0.9130086024817867,1.4563638486932615,1.0911925624471597,1.2781798887278886,4.0,1.61245154965971,04-16-2020
23 April,kl,1.15453457521237,0.13340323687987998,0.8930695670572804,1.4159995833674595,1.0645554259692596,1.2445137244554803,6.6,1.8547236990991407,04-17-2020
24 April,kl,1.0317512452188238,0.12359223696456362,0.7895154044577577,1.2739870859798899,0.9483895173085952,1.1151129731290523,10.1,2.4677925358506134,04-18-2020
25 April,kl,0.9451618160577848,0.11831443402495619,0.7132702579462317,1.1770533741693379,0.8653599134522921,1.0249637186632776,11.2,2.1354156504062622,04-19-2020
26 April,kl,0.8352369034404585,0.1132238740286619,0.6133226392992424,1.0571511675816747,0.7588685326468664,0.9116052742340507,11.6,3.52703841770968,04-20-2020
27 April,kl,0.7859941942871305,0.11394146226003618,0.5626734859159499,1.009314902658311,0.7091418174073587,0.8628465711669022,7.7,3.001666203960727,04-21-2020
28 April,kl,0.7046657171427667,0.11258332831620409,0.48400689697613936,0.9253245373093941,0.6287293880267703,0.7806020462587632,8.8,2.9597297173897488,04-22-2020
29 April,kl,0.6530221310028049,0.11433581848235855,0.42892850021012147,0.8771157617954883,0.5759037647946389,0.730140497210971,7.7,1.5524174696260025,04-23-2020
30 April,kl,0.5580411969078819,0.11213637530610743,0.3382583867629236,0.7778240070528402,0.4824063331276655,0.6336760606880983,8.3,2.968164415931166,04-24-2020
01 May,kl,0.44890880732544963,0.10838044069119893,0.2364874787883274,0.6613301358625718,0.3758072838836429,0.5220103307672564,8.5,2.692582403567252,04-25-2020
