dates,state,positivity_rate_cumulative,daily_positive_cases,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,test_per_million
19 March,Andhra Pradesh,,,,,,
20 March,Andhra Pradesh,,,,,,
21 March,Andhra Pradesh,,,,,,
22 March,Andhra Pradesh,,,,,,
23 March,Andhra Pradesh,,,,,,
24 March,Andhra Pradesh,,,,,,
25 March,Andhra Pradesh,,,,,,
26 March,Andhra Pradesh,,,,,,
27 March,Andhra Pradesh,,,,,,
28 March,Andhra Pradesh,,,,,,
29 March,Andhra Pradesh,,,,,,
30 March,Andhra Pradesh,,,,,,
31 March,Andhra Pradesh,,,,,,
01 April,Andhra Pradesh,,,,,,
02 April,Andhra Pradesh,,,,,,
03 April,Andhra Pradesh,,,,,,
04 April,Andhra Pradesh,,,,,,
05 April,Andhra Pradesh,,,,,,
06 April,Andhra Pradesh,,,,,,
07 April,Andhra Pradesh,,,,,,
08 April,Andhra Pradesh,,,,,,
09 April,Andhra Pradesh,,,,,,
10 April,Andhra Pradesh,,,,,,
11 April,Andhra Pradesh,5.4757114113250935,16,,,,129.082783341672
12 April,Andhra Pradesh,5.82063811440069,24,,,,129.082783341672
13 April,Andhra Pradesh,4.934323243860651,27,,,,162.42020237946804
14 April,Andhra Pradesh,4.50261780104712,41,,,,194.88569114749419
15 April,Andhra Pradesh,4.520795660036167,52,,,,215.4409834646216
16 April,Andhra Pradesh,2.6389918458117125,9,0.0010438413361169101,28.166666666666668,28.166666666666668,375.39380869771963
17 April,Andhra Pradesh,2.8267852730417595,38,,29.571428571428573,29.571428571428573,375.39380869771963
18 April,Andhra Pradesh,2.8111888111888113,31,0.02551440329218107,31.714285714285715,31.714285714285715,397.9341337566635
19 April,Andhra Pradesh,2.4000296757919726,44,0.007988380537400145,34.57142857142857,34.57142857142857,500.11694069054244
20 April,Andhra Pradesh,2.349266261022354,75,0.019867549668874173,41.42857142857143,41.42857142857143,570.1496378901418
21 April,Andhra Pradesh,2.1171864074954554,35,0.006969334926324173,40.57142857142857,40.57142857142857,663.3163148004431
22 April,Andhra Pradesh,1.9584698400462517,56,0.009727288518325517,41.142857142857146,41.142857142857146,770.1184969933154
23 April,Andhra Pradesh,1.8591772151898733,80,0.012269938650306749,51.285714285714285,51.285714285714285,891.0756322890472
24 April,Andhra Pradesh,1.7575177592108653,62,0.009831906121154456,54.714285714285715,54.714285714285715,1008.062702101146
25 April,Andhra Pradesh,1.6583423105800934,61,0.00880484988452656,59.0,59.0,1136.5889342067946
26 April,Andhra Pradesh,1.6124290795778582,81,0.011968085106382979,64.28571428571429,64.28571428571429,1262.1468930536525
27 April,Andhra Pradesh,1.5787849928237045,80,0.012275586926499923,65.0,65.0,1383.048373225782
28 April,Andhra Pradesh,1.5672069111459657,82,0.014179491613349473,71.71428571428571,71.71428571428571,1490.3328998232078
29 April,Andhra Pradesh,1.512587865229784,73,0.009447392260903326,74.14285714285714,74.14285714285714,1633.6819465149438
30 April,Andhra Pradesh,1.483745426087692,71,0.01092812067107896,72.85714285714286,72.85714285714286,1754.2123925297244
01 May,Andhra Pradesh,1.4278742924067929,60,0.007593014426727411,72.57142857142857,72.57142857142857,1900.8079880982632
02 May,Andhra Pradesh,1.4067876350285509,62,0.010432441527847888,72.71428571428571,72.71428571428571,2011.06078795448
03 May,Andhra Pradesh,1.3772762469874802,58,0.008876645240281604,69.42857142857143,69.42857142857143,2132.277647160356
04 May,Andhra Pradesh,1.3175861821143664,67,0.006509910610182666,67.57142857142857,67.57142857142857,2323.211824532085
