dates,state,positivity_rate_cumulative,daily_positive_cases,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,test_per_million
29 May,Karnataka,1.0514614974535803,248,0.01998227378938039,148.28571428571428,148.28571428571428,3914.720027560775
30 May,Karnataka,1.042763287023985,141,0.008964903357070193,137.57142857142858,137.57142857142858,4147.511246074498
31 May,Karnataka,1.0971642680745977,299,0.022383590357838,161.71428571428572,161.71428571428572,4345.223930262335
01 June,Karnataka,1.1180515458506115,187,0.016635530646739612,175.14285714285714,175.14285714285714,4511.602750666248
02 June,Karnataka,1.1876306205964433,388,0.02619497704563867,216.14285714285714,216.14285714285714,4730.836189668362
03 June,Karnataka,1.2134697229896214,267,0.017569257090215173,235.0,235.0,4955.7680403647655
04 June,Karnataka,1.2446231989697285,257,0.02094880991196609,255.28571428571428,255.28571428571428,5137.347558976563
05 June,Karnataka,1.3403748059436682,515,0.037792617597416894,293.42857142857144,293.42857142857144,5339.041730815735
06 June,Karnataka,1.3991550853234993,378,0.03186646433990895,327.2857142857143,327.2857142857143,5514.61201527719
30 January,Kerala,,,,,,
31 January,Kerala,,,,,,
01 February,Kerala,,,,,,
02 February,Kerala,,,,,,
03 February,Kerala,,,,,,
04 February,Kerala,,,,,,
05 February,Kerala,,,,,,
06 February,Kerala,,,,,,
07 February,Kerala,,,,,,
08 February,Kerala,,,,,,
09 February,Kerala,,,,,,
10 February,Kerala,,,,,,
11 February,Kerala,,,,,,
12 February,Kerala,,,,,,
13 February,Kerala,,,,,,
14 February,Kerala,,,,,,
15 February,Kerala,,,,,,
16 February,Kerala,,,,,,
17 February,Kerala,,,,,,
18 February,Kerala,,,,,,
19 February,Kerala,,,,,,
20 February,Kerala,,,,,,
21 February,Kerala,,,,,,
22 February,Kerala,,,,,,
23 February,Kerala,,,,,,
24 February,Kerala,,,,,,
25 February,Kerala,,,,,,
26 February,Kerala,,,,,,
27 February,Kerala,,,,,,
28 February,Kerala,,,,,,
29 February,Kerala,,,,,,
01 March,Kerala,,,,,,
02 March,Kerala,,,,,,
03 March,Kerala,,,,,,
04 March,Kerala,,,,,,
05 March,Kerala,,,,,,
06 March,Kerala,,,,,,
07 March,Kerala,,,,,,
08 March,Kerala,,,,,,
09 March,Kerala,,,,,,
10 March,Kerala,,,,,,
11 March,Kerala,,,,,,
12 March,Kerala,,,,,,
13 March,Kerala,,,,,,
14 March,Kerala,,,,,,
15 March,Kerala,,,,,,
16 March,Kerala,,,,,,
17 March,Kerala,,,,,,
18 March,Kerala,,,,,,
19 March,Kerala,,,,,,
20 March,Kerala,,,,,,
21 March,Kerala,,,,,,
22 March,Kerala,,,,,,
23 March,Kerala,,,,,,
24 March,Kerala,,,,,,
25 March,Kerala,,,,,,
26 March,Kerala,,,,,,
27 March,Kerala,,,,,,
28 March,Kerala,,,,,,
29 March,Kerala,,,,,,
30 March,Kerala,,,,,,
31 March,Kerala,,,,,,
01 April,Kerala,,,,,,
02 April,Kerala,3.3822138126773886,21,,,,236.86644074530798
03 April,Kerala,3.2279242805558597,9,,,,255.99839190768327
04 April,Kerala,3.1403940886699506,11,,,,272.94543503101715
05 April,Kerala,3.0721064475100284,8,,,,286.30698803900106
06 April,Kerala,3.051511758118701,13,,,,300.17275059445603
07 April,Kerala,2.9914529914529915,9,,,,314.6267576219607
08 April,Kerala,2.953445686634407,18,0.023872679045092837,12.714285714285714,12.714285714285714,335.7475353326941
09 April,Kerala,2.8088119590873326,3,0.004143646408839779,10.142857142857142,10.142857142857142,356.0279637976424
10 April,Kerala,2.728840242896769,7,0.011128775834658187,9.857142857142858,9.857142857142858,373.6472863176044
11 April,Kerala,2.6336228200240064,9,0.010922330097087379,9.571428571428571,9.571428571428571,396.7288789351699
12 April,Kerala,2.5018346787644274,2,0.002421307506053269,8.714285714285714,8.714285714285714,419.86649483578776
13 April,Kerala,2.4102531403430465,3,0.004322766570605188,7.285714285714286,7.285714285714286,439.30657405495094
14 April,Kerala,2.377579303972898,8,0.014492753623188406,7.142857142857143,7.142857142857143,454.76900017739774
15 April,Kerala,2.3490136570561457,1,0.004166666666666667,4.714285714285714,4.714285714285714,461.49179414367893
16 April,Kerala,2.264367816091954,7,0.0075675675675675675,5.285714285714286,5.285714285714286,487.40256255538776
17 April,Kerala,2.1909146375284263,1,0.001589825119236884,4.428571428571429,4.428571428571429,505.02188507534976
18 April,Kerala,2.1252796420581657,4,0.005369127516778523,3.7142857142857144,3.7142857142857144,525.8905580123477
19 April,Kerala,2.0722443284584777,2,0.0034662045060658577,3.7142857142857144,3.7142857142857144,542.0532751729488
20 April,Kerala,2.065195383680907,7,0.01728395061728395,4.285714285714286,4.285714285714286,553.3979899910483
21 April,Kerala,2.1034959510171833,18,0.036290322580645164,5.714285714285714,5.714285714285714,567.2917641880294
22 April,Kerala,2.098842514768743,11,0.019332161687170474,7.142857142857143,7.142857142857143,583.2303882164211
23 April,Kerala,2.0952470235305145,10,0.01949317738791423,7.571428571428571,7.571428571428571,597.6003603193473
24 April,Kerala,2.0510483135824975,3,0.0049504950495049506,7.857142857142857,7.857142857142857,614.5754150842073
25 April,Kerala,2.0438282647584973,7,0.016666666666666666,8.285714285714286,8.285714285714286,626.3403045251995
26 April,Kerala,2.038860329354361,11,0.018518518518518517,9.571428571428571,9.571428571428571,642.9792195917455
27 April,Kerala,1.992048372401226,13,0.010906040268456376,10.428571428571429,10.428571428571429,676.3690962909421
28 April,Kerala,1.9513176423254879,4,0.005641748942172073,8.428571428571429,8.428571428571429,696.2293501329979
29 April,Kerala,1.91659890811941,10,0.0102880658436214,8.285714285714286,8.285714285714286,723.4566656964367
30 April,Kerala,1.808522251737564,2,0.0012091898428053204,7.142857142857143,7.142857142857143,769.7879207807248
01 May,Kerala,1.7130842410037226,0,0.0,6.714285714285714,6.714285714285714,812.6737439572937
02 May,Kerala,1.499579276355331,2,0.00046904315196998124,6.0,6.0,932.1153834248898
03 May,Kerala,1.4418631530282016,0,0.0,4.428571428571429,4.428571428571429,969.4268899377506
04 May,Kerala,1.4079738156372563,0,0.0,2.5714285714285716,2.5714285714285716,992.7605873290516
05 May,Kerala,1.38246309759859,3,0.003444316877152698,2.4285714285714284,2.4285714285714284,1017.1587270983472
06 May,Kerala,1.3370265807276407,0,0.0,1.0,1.0,1051.725092741643
07 May,Kerala,1.3139297492540438,0,0.0,0.7142857142857143,0.7142857142857143,1070.2127761489164
08 May,Kerala,1.281006468700657,1,0.0009433962264150943,0.8571428571428571,0.8571428571428571,1099.9051161666584
09 May,Kerala,1.258629713630586,2,0.002333722287047841,0.8571428571428571,0.8571428571428571,1123.9110929545875
10 May,Kerala,1.2403401245185204,7,0.006055363321799308,1.8571428571428572,1.8571428571428572,1156.292550558842
11 May,Kerala,1.2278177458033572,0,0.0,1.8571428571428572,1.8571428571428572,1168.0854516413604
12 May,Kerala,1.2340736204988108,12,0.01576872536136662,3.142857142857143,3.142857142857143,1189.402310842777
13 May,Kerala,1.2234237536656891,10,0.008424599831508003,4.571428571428571,4.571428571428571,1222.6521293343428
14 May,Kerala,1.2433668598325895,26,0.018691588785046728,8.285714285714286,8.285714285714286,1261.6163226972476
15 May,Kerala,1.2299545173069122,16,0.008928571428571428,10.428571428571429,10.428571428571429,1311.8131843121473
16 May,Kerala,1.2119835649247415,11,0.00686641697877653,11.714285714285714,11.714285714285714,1356.6878340370745
17 May,Kerala,1.2011351826684786,14,0.008733624454148471,12.714285714285714,12.714285714285714,1401.5904954035277
18 May,Kerala,1.23386670322568,29,0.028347996089931573,16.857142857142858,16.857142857142858,1430.2464046848013
19 May,Kerala,1.220810831368373,12,0.007848266841072597,16.857142857142858,16.857142857142858,1473.0762045783179
20 May,Kerala,1.2190434352863653,24,0.0117359413202934,18.857142857142858,18.857142857142858,1530.3600114993392
21 May,Kerala,1.2239902080783354,24,0.013793103448275862,18.571428571428573,18.571428571428573,1579.100267754878
22 May,Kerala,1.2555239628652668,43,0.02140368342458935,22.428571428571427,22.428571428571427,1635.3756555809568
23 May,Kerala,1.315288784474629,62,0.030082484230955848,29.714285714285715,29.714285714285715,1693.1076487663968
24 May,Kerala,1.369951534733441,53,0.0363761153054221,35.285714285714285,35.285714285714285,1733.9206104700288
25 May,Kerala,1.4236061515021663,49,0.04418394950405771,38.142857142857146,38.142857142857146,1764.9855209225534
26 May,Kerala,1.4761955806011975,67,0.02920662598081953,46.0,46.0,1829.2442265835912
27 May,Kerala,1.4773178734862642,40,0.015048908954100828,48.285714285714285,48.285714285714285,1903.6991697601557
28 May,Kerala,1.5420124040667214,85,0.03194287861706126,57.0,57.0,1978.2381478612986
29 May,Kerala,1.5509203115315169,62,0.017260579064587972,59.714285714285715,59.714285714285715,2078.855964223307
30 May,Kerala,1.5649067398423444,58,0.019060138021689123,59.142857142857146,59.142857142857146,2164.095389387448
31 May,Kerala,1.6385405377509419,61,0.24302788844621515,60.285714285714285,60.285714285714285,2171.126311410517
01 June,Kerala,1.609479799633713,57,0.01153612629022465,61.42857142857143,61.42857142857143,2309.5318321913314
02 June,Kerala,1.6398008564564983,86,0.023118279569892472,64.14285714285714,64.14285714285714,2413.73513866869
03 June,Kerala,1.5679405965515796,82,0.008933435014707485,70.14285714285714,70.14285714285714,2670.8539962374202
04 June,Kerala,1.5939092404606188,94,0.0216390423572744,71.42857142857143,71.42857142857143,2792.5365670271103
05 June,Kerala,1.63390840501706,111,0.025499655410062026,78.42857142857143,78.42857142857143,2914.4712425905354
06 June,Kerala,1.6772421982262793,108,0.02879232204745401,85.57142857142857,85.57142857142857,3019.5429099552057
30 January,Ladakh,,,,,,
31 January,Ladakh,,,,,,
01 February,Ladakh,,,,,,
02 February,Ladakh,,,,,,
03 February,Ladakh,,,,,,
04 February,Ladakh,,,,,,
05 February,Ladakh,,,,,,
06 February,Ladakh,,,,,,
07 February,Ladakh,,,,,,
08 February,Ladakh,,,,,,
09 February,Ladakh,,,,,,
10 February,Ladakh,,,,,,
11 February,Ladakh,,,,,,
12 February,Ladakh,,,,,,
13 February,Ladakh,,,,,,
14 February,Ladakh,,,,,,
15 February,Ladakh,,,,,,
16 February,Ladakh,,,,,,
17 February,Ladakh,,,,,,
18 February,Ladakh,,,,,,
19 February,Ladakh,,,,,,
20 February,Ladakh,,,,,,
21 February,Ladakh,,,,,,
22 February,Ladakh,,,,,,
23 February,Ladakh,,,,,,
24 February,Ladakh,,,,,,
25 February,Ladakh,,,,,,
26 February,Ladakh,,,,,,
27 February,Ladakh,,,,,,
28 February,Ladakh,,,,,,
29 February,Ladakh,,,,,,
01 March,Ladakh,,,,,,
02 March,Ladakh,,,,,,
03 March,Ladakh,,,,,,
04 March,Ladakh,,,,,,
05 March,Ladakh,,,,,,
06 March,Ladakh,,,,,,
07 March,Ladakh,,,,,,
08 March,Ladakh,,,,,,
09 March,Ladakh,,,,,,
10 March,Ladakh,,,,,,
11 March,Ladakh,,,,,,
12 March,Ladakh,,,,,,
13 March,Ladakh,,,,,,
14 March,Ladakh,,,,,,
15 March,Ladakh,,,,,,
16 March,Ladakh,,,,,,
17 March,Ladakh,,,,,,
18 March,Ladakh,,,,,,
19 March,Ladakh,,,,,,
20 March,Ladakh,,,,,,
21 March,Ladakh,,,,,,
22 March,Ladakh,,,,,,
23 March,Ladakh,,,,,,
24 March,Ladakh,,,,,,
25 March,Ladakh,,,,,,
26 March,Ladakh,,,,,,
27 March,Ladakh,,,,,,
28 March,Ladakh,,,,,,
29 March,Ladakh,,,,,,
30 March,Ladakh,,,,,,
31 March,Ladakh,,,,,,
01 April,Ladakh,,,,,,
02 April,Ladakh,,,,,,
03 April,Ladakh,,,,,,
04 April,Ladakh,,,,,,
05 April,Ladakh,,,,,,
06 April,Ladakh,,,,,,
07 April,Ladakh,,,,,,
08 April,Ladakh,,,,,,
09 April,Ladakh,,,,,,
10 April,Ladakh,,,,,,
11 April,Ladakh,,,,,,
12 April,Ladakh,,,,,,
13 April,Ladakh,,,,,,
14 April,Ladakh,2.236842105263158,0,,,,2629.548513440107
15 April,Ladakh,2.1951219512195124,1,,,,2837.144448711694
16 April,Ladakh,1.9629225736095965,0,,,,3172.7578774007607
17 April,Ladakh,,,,,,
18 April,Ladakh,,,,,,
19 April,Ladakh,,,,,,
20 April,Ladakh,,,,,,
21 April,Ladakh,,,,,,
22 April,Ladakh,,,,,,
23 April,Ladakh,,,,,,
24 April,Ladakh,,,,,,
25 April,Ladakh,,,,,,
26 April,Ladakh,,,,,,
27 April,Ladakh,,,,,,
28 April,Ladakh,,,,,,
29 April,Ladakh,,,,,,
30 April,Ladakh,0.9799554565701559,0,0.0,0.0,0.0,7767.547911411894
01 May,Ladakh,0.9053497942386831,0,0.0,0.0,0.0,8407.63537849929
02 May,Ladakh,0.9449465899753492,1,0.25,0.3333333333333333,0.3333333333333333,8421.475107517395
03 May,Ladakh,1.6844700082169268,18,,4.75,4.75,8421.475107517395
04 May,Ladakh,1.5536187949981053,0,0.0,3.8,3.8,9130.761219695318
05 May,Ladakh,,,,,,
06 May,Ladakh,,,,,,
07 May,Ladakh,,,,,,
08 May,Ladakh,,,,,,
09 May,Ladakh,,,,9.0,9.0,
10 May,Ladakh,,,,,,
11 May,Ladakh,,,,,,
12 May,Ladakh,,,,,,
13 May,Ladakh,,,,,,
14 May,Ladakh,,,,,,
15 May,Ladakh,,,,,,
16 May,Ladakh,,,,,,
17 May,Ladakh,,,,,,
18 May,Ladakh,,,,,,
19 May,Ladakh,0.9090909090909091,0,0.0,0.0,0.0,16365.47956391014
20 May,Ladakh,,,,,,
21 May,Ladakh,,,,0.0,0.0,
22 May,Ladakh,0.7992733878292462,0,0.0,0.0,0.0,19046.927061168142
23 May,Ladakh,0.8555962982364239,5,0.02252252252252252,1.6666666666666667,1.6666666666666667,19815.032021673014
24 May,Ladakh,0.9075043630017452,3,1.0,2.0,2.0,19825.411818436594
25 May,Ladakh,0.8989145183175034,1,0.006024096385542169,1.8,1.8,20399.76057268799
26 May,Ladakh,,,,,,
27 May,Ladakh,,,,,,
28 May,Ladakh,,,,,,
29 May,Ladakh,,,,,,
30 May,Ladakh,,,,2.0,2.0,
31 May,Ladakh,1.0470492249116128,3,,2.0,2.0,25444.34179978756
01 June,Ladakh,,,,,,
02 June,Ladakh,,,,3.0,3.0,
03 June,Ladakh,,,,,,
04 June,Ladakh,,,,,,
05 June,Ladakh,,,,3.0,3.0,
06 June,Ladakh,0.974025974025974,2,0.004878048780487805,2.5,2.5,35166.7514350069
30 January,Madhya Pradesh,,,,,,
31 January,Madhya Pradesh,,,,,,
01 February,Madhya Pradesh,,,,,,
02 February,Madhya Pradesh,,,,,,
03 February,Madhya Pradesh,,,,,,
04 February,Madhya Pradesh,,,,,,
05 February,Madhya Pradesh,,,,,,
06 February,Madhya Pradesh,,,,,,
07 February,Madhya Pradesh,,,,,,
08 February,Madhya Pradesh,,,,,,
09 February,Madhya Pradesh,,,,,,
10 February,Madhya Pradesh,,,,,,
11 February,Madhya Pradesh,,,,,,
12 February,Madhya Pradesh,,,,,,
13 February,Madhya Pradesh,,,,,,
14 February,Madhya Pradesh,,,,,,
15 February,Madhya Pradesh,,,,,,
16 February,Madhya Pradesh,,,,,,
17 February,Madhya Pradesh,,,,,,
18 February,Madhya Pradesh,,,,,,
19 February,Madhya Pradesh,,,,,,
20 February,Madhya Pradesh,,,,,,
21 February,Madhya Pradesh,,,,,,
22 February,Madhya Pradesh,,,,,,
23 February,Madhya Pradesh,,,,,,
24 February,Madhya Pradesh,,,,,,
25 February,Madhya Pradesh,,,,,,
26 February,Madhya Pradesh,,,,,,
27 February,Madhya Pradesh,,,,,,
28 February,Madhya Pradesh,,,,,,
29 February,Madhya Pradesh,,,,,,
01 March,Madhya Pradesh,,,,,,
02 March,Madhya Pradesh,,,,,,
03 March,Madhya Pradesh,,,,,,
04 March,Madhya Pradesh,,,,,,
05 March,Madhya Pradesh,,,,,,
06 March,Madhya Pradesh,,,,,,
07 March,Madhya Pradesh,,,,,,
08 March,Madhya Pradesh,,,,,,
09 March,Madhya Pradesh,,,,,,
10 March,Madhya Pradesh,,,,,,
11 March,Madhya Pradesh,,,,,,
12 March,Madhya Pradesh,,,,,,
13 March,Madhya Pradesh,,,,,,
14 March,Madhya Pradesh,,,,,,
15 March,Madhya Pradesh,,,,,,
16 March,Madhya Pradesh,,,,,,
17 March,Madhya Pradesh,,,,,,
18 March,Madhya Pradesh,,,,,,
19 March,Madhya Pradesh,,,,,,
20 March,Madhya Pradesh,,,,,,
21 March,Madhya Pradesh,,,,,,
22 March,Madhya Pradesh,,,,,,
23 March,Madhya Pradesh,,,,,,
24 March,Madhya Pradesh,,,,,,
25 March,Madhya Pradesh,,,,,,
26 March,Madhya Pradesh,,,,,,
27 March,Madhya Pradesh,,,,,,
28 March,Madhya Pradesh,,,,,,
29 March,Madhya Pradesh,,,,,,
30 March,Madhya Pradesh,,,,,,
31 March,Madhya Pradesh,,,,,,
01 April,Madhya Pradesh,,,,,,
02 April,Madhya Pradesh,,,,,,
03 April,Madhya Pradesh,,,,,,
04 April,Madhya Pradesh,,,,,,
05 April,Madhya Pradesh,,,,,,
06 April,Madhya Pradesh,,,,,,
07 April,Madhya Pradesh,,,,,,
08 April,Madhya Pradesh,8.407297830374754,51,,,,47.51697727356465
09 April,Madhya Pradesh,8.003894839337878,70,,,,60.157711612365496
10 April,Madhya Pradesh,6.39807064831891,40,,,,82.58066390566006
11 April,Madhya Pradesh,6.211836542977924,78,,,,99.7669079047526
12 April,Madhya Pradesh,5.362083770632573,33,,,,122.78733698329168
13 April,Madhya Pradesh,5.85821963553096,52,,54.0,54.0,122.78733698329168
14 April,Madhya Pradesh,9.142504626773597,127,-0.05345117845117845,64.42857142857143,64.42857142857143,94.9519479295467
15 April,Madhya Pradesh,9.774906210921218,197,0.13212608987256874,85.28571428571429,85.28571428571429,112.41935747463667
16 April,Madhya Pradesh,8.627334716869257,226,0.058008213552361396,107.57142857142857,107.57142857142857,158.06189777488515
17 April,Madhya Pradesh,8.560972421905634,146,0.08066298342541436,122.71428571428571,122.71428571428571,179.26646603552422
18 April,Madhya Pradesh,9.36039524636133,92,-0.2839506172839506,124.71428571428571,124.71428571428571,175.470731164559
19 April,Madhya Pradesh,7.888982338099243,5,0.0017500875043752187,120.71428571428571,120.71428571428571,208.94114636933566
20 April,Madhya Pradesh,7.757810051196322,78,0.05967865340474369,124.42857142857143,124.42857142857143,224.25295339511203
21 April,Madhya Pradesh,7.424061229370964,67,0.03800340328984685,115.85714285714286,115.85714285714286,244.90690579483947
22 April,Madhya Pradesh,7.0022943875750085,35,0.019897669130187607,92.71428571428571,92.71428571428571,265.51399727023403
23 April,Madhya Pradesh,6.872250285155613,100,0.05307855626326964,74.71428571428571,74.71428571428571,287.5854926310318
24 April,Madhya Pradesh,7.036938207601113,159,0.0943620178041543,76.57142857142857,76.57142857142857,307.3256570062676
25 April,Madhya Pradesh,6.979832053398407,99,0.06062461726883037,77.57142857142857,77.57142857142857,326.4566293651756
26 April,Madhya Pradesh,8.283132530120483,145,-0.055049354593773726,97.57142857142857,97.57142857142857,295.5987106919584
27 April,Madhya Pradesh,8.015846569661965,75,0.04220596510973551,97.14285714285714,97.14285714285714,316.41667632685096
28 April,Madhya Pradesh,7.685125563425628,222,0.0548012836336707,119.28571428571429,119.28571428571429,363.8750774449995
29 April,Madhya Pradesh,7.565682536867926,173,0.062297443284119555,139.0,139.0,396.40827416311805
30 April,Madhya Pradesh,6.2931530494821635,65,0.008253968253968255,134.0,134.0,488.6657189435228
01 May,Madhya Pradesh,6.154229757910962,90,0.03743760399334443,124.14285714285714,124.14285714285714,516.8291344675981
02 May,Madhya Pradesh,5.985658465369917,73,0.029650690495532088,120.42857142857143,120.42857142857143,545.6720333945005
03 May,Madhya Pradesh,5.767901435367787,49,0.018788343558282208,106.71428571428571,106.71428571428571,576.2253560595539
04 May,Madhya Pradesh,5.647374988002688,105,0.036094877964936406,111.0,111.0,610.3049632806583
05 May,Madhya Pradesh,5.5847605092041395,107,0.0428,94.57142857142857,94.57142857142857,639.5930409887234
06 May,Madhya Pradesh,5.747779100650242,89,,82.57142857142857,82.57142857142857,639.5930409887234
07 May,Madhya Pradesh,5.329400196656834,114,0.0177431906614786,89.57142857142857,89.57142857142857,714.8634006984504
08 May,Madhya Pradesh,5.244486304057766,89,0.03314711359404097,89.42857142857143,89.42857142857143,746.3187961569122
09 May,Madhya Pradesh,5.083076018232613,116,0.02694541231126597,95.57142857142857,95.57142857142857,796.7528659702001
10 May,Madhya Pradesh,5.014638748976675,157,0.03867947770386795,111.0,111.0,844.3049889370144
11 May,Madhya Pradesh,4.977708807322558,171,0.043073047858942067,120.42857142857143,120.42857142857143,890.8144563374216
12 May,Madhya Pradesh,4.9279841750633615,201,0.041477507222451505,133.85714285714286,133.85714285714286,947.5864661667348
13 May,Madhya Pradesh,4.857804733245637,187,0.03726584296532483,147.85714285714286,147.85714285714286,1006.3734957423628
14 May,Madhya Pradesh,4.930926916221034,253,0.06559502203785325,167.71428571428572,167.71428571428572,1051.5591420303656
15 May,Madhya Pradesh,4.89616298522094,169,0.041330398630472,179.14285714285714,179.14285714285714,1099.4627219296767
16 May,Madhya Pradesh,4.805521835528758,195,0.03345916266300618,190.42857142857142,190.42857142857142,1167.7390886827177
17 May,Madhya Pradesh,4.790275077479836,187,0.044302298033641316,194.71428571428572,194.71428571428572,1217.1890790850148
18 May,Madhya Pradesh,4.667998002995507,259,0.0313180169286578,207.28571428571428,207.28571428571428,1314.0740401432936
19 May,Madhya Pradesh,4.692074558052081,229,0.05319396051103368,211.28571428571428,211.28571428571428,1364.5081099565816
20 May,Madhya Pradesh,4.749993788151105,270,0.06332082551594746,223.14285714285714,223.14285714285714,1414.4618552954573
21 May,Madhya Pradesh,4.761639386026368,246,0.05050297680147814,222.14285714285714,222.14285714285714,1471.526745901851
22 May,Madhya Pradesh,4.780722144738881,189,0.05475086906141367,225.0,225.0,1511.9677236011473
23 May,Madhya Pradesh,4.798559904797053,201,0.0541925047182529,225.85714285714286,225.85714285714286,1555.4195156888325
24 May,Madhya Pradesh,4.9047384262155145,294,0.09423076923076923,241.14285714285714,241.14285714285714,1591.9710366684976
25 May,Madhya Pradesh,4.949344801708711,194,0.07198515769944341,231.85714285714286,231.85714285714286,1623.5435844377917
26 May,Madhya Pradesh,4.963676965259914,165,0.056429548563611494,222.71428571428572,222.71428571428572,1657.7989201251444
27 May,Madhya Pradesh,4.96838734398949,237,0.051121656600517686,218.0,218.0,1712.1107314269802
28 May,Madhya Pradesh,4.929819687528939,192,0.038110361254466055,210.28571428571428,210.28571428571428,1771.1320656242726
29 May,Madhya Pradesh,4.9184230165470035,192,0.045133991537376586,210.71428571428572,210.71428571428572,1820.9686586523162
30 May,Madhya Pradesh,4.884495394671685,246,0.040222367560497053,217.14285714285714,217.14285714285714,1892.6190119573264
31 May,Madhya Pradesh,4.820389969488939,198,0.03164961636828645,203.42857142857142,203.42857142857142,1965.9094976139882
01 June,Madhya Pradesh,4.815165766572298,194,0.046069817145571124,203.42857142857142,203.42857142857142,2015.242335705453
02 June,Madhya Pradesh,4.7441697984573,137,0.025082387403881364,199.42857142857142,199.42857142857142,2079.230927882033
03 June,Madhya Pradesh,4.675980877917043,168,0.027180067950169876,189.57142857142858,189.57142857142858,2151.6427712074533
04 June,Madhya Pradesh,4.629805761629996,174,0.031127012522361358,187.0,187.0,2217.1309129626866
05 June,Madhya Pradesh,4.607449974135591,234,0.03901950975487744,193.0,193.0,2287.387153768793
06 June,Madhya Pradesh,4.593032805244061,232,0.04096045197740113,191.0,191.0,2353.7422226241847
30 January,Maharashtra,,,,,,
31 January,Maharashtra,,,,,,
01 February,Maharashtra,,,,,,
02 February,Maharashtra,,,,,,
03 February,Maharashtra,,,,,,
04 February,Maharashtra,,,,,,
05 February,Maharashtra,,,,,,
06 February,Maharashtra,,,,,,
07 February,Maharashtra,,,,,,
08 February,Maharashtra,,,,,,
09 February,Maharashtra,,,,,,
10 February,Maharashtra,,,,,,
11 February,Maharashtra,,,,,,
12 February,Maharashtra,,,,,,
13 February,Maharashtra,,,,,,
14 February,Maharashtra,,,,,,
15 February,Maharashtra,,,,,,
16 February,Maharashtra,,,,,,
17 February,Maharashtra,,,,,,
18 February,Maharashtra,,,,,,
19 February,Maharashtra,,,,,,
20 February,Maharashtra,,,,,,
21 February,Maharashtra,,,,,,
22 February,Maharashtra,,,,,,
23 February,Maharashtra,,,,,,
24 February,Maharashtra,,,,,,
25 February,Maharashtra,,,,,,
26 February,Maharashtra,,,,,,
27 February,Maharashtra,,,,,,
28 February,Maharashtra,,,,,,
29 February,Maharashtra,,,,,,
01 March,Maharashtra,,,,,,
02 March,Maharashtra,,,,,,
03 March,Maharashtra,,,,,,
04 March,Maharashtra,,,,,,
05 March,Maharashtra,,,,,,
06 March,Maharashtra,,,,,,
07 March,Maharashtra,,,,,,
08 March,Maharashtra,,,,,,
09 March,Maharashtra,,,,,,
10 March,Maharashtra,,,,,,
11 March,Maharashtra,,,,,,
12 March,Maharashtra,,,,,,
13 March,Maharashtra,,,,,,
14 March,Maharashtra,,,,,,
15 March,Maharashtra,,,,,,
16 March,Maharashtra,,,,,,
17 March,Maharashtra,,,,,,
18 March,Maharashtra,,,,,,
19 March,Maharashtra,,,,,,
20 March,Maharashtra,,,,,,
21 March,Maharashtra,,,,,,
22 March,Maharashtra,,,,,,
23 March,Maharashtra,,,,,,
24 March,Maharashtra,,,,,,
25 March,Maharashtra,,,,,,
26 March,Maharashtra,,,,,,
27 March,Maharashtra,,,,,,
28 March,Maharashtra,,,,,,
29 March,Maharashtra,,,,,,
30 March,Maharashtra,,,,,,
31 March,Maharashtra,,,,,,
01 April,Maharashtra,,,,,,
02 April,Maharashtra,,,,,,
03 April,Maharashtra,,,,,,
04 April,Maharashtra,,,,,,
05 April,Maharashtra,,,,,,
06 April,Maharashtra,,,,,,142.6213879314501
07 April,Maharashtra,4.87617952770992,150,,,,169.53292238483652
08 April,Maharashtra,,,,,,
09 April,Maharashtra,,,,,,
10 April,Maharashtra,3.783333333333333,267,,,,243.61678744767426
11 April,Maharashtra,5.530605194560472,626,,,,258.56673763737984
12 April,Maharashtra,4.93719860939778,0,,,,289.6441191561215
13 April,Maharashtra,5.0245437382001255,235,0.057924574808972146,255.6,255.6,322.58922937862866
14 April,Maharashtra,5.697450756007889,344,0.2555720653789004,294.4,294.4,333.51950257544763
15 April,Maharashtra,5.9589739045678085,350,0.08597396217145664,303.6666666666667,303.6666666666667,366.57830063209707
16 April,Maharashtra,5.730906803977831,226,0.03937282229965157,292.57142857142856,292.57142857142856,413.1903126304187
17 April,Maharashtra,5.754517044434067,288,0.060050041701417846,295.57142857142856,295.57142857142856,452.1365163837203
18 April,Maharashtra,5.523052887012598,119,0.026515151515151516,223.14285714285714,223.14285714285714,488.58158778589234
19 April,Maharashtra,5.465896161446794,328,0.04947209653092006,270.0,270.0,542.4208978118284
20 April,Maharashtra,5.894477082486224,553,0.12220994475138122,315.42857142857144,315.42857142857144,579.1664299185192
21 April,Maharashtra,6.165774413882223,472,0.1044941332742971,333.7142857142857,333.7142857142857,615.8469975485574
22 April,Maharashtra,6.35327566096423,553,0.08552428085369626,362.7142857142857,362.7142857142857,668.3545358031128
23 April,Maharashtra,5.849972532708499,-11,-0.0015958218482518497,328.85714285714283,328.85714285714283,724.3295529990068
24 April,Maharashtra,6.750341350698456,1209,0.20106436055213703,460.42857142857144,460.42857142857144,773.1584777631023
25 April,Maharashtra,6.755390835579515,390,0.06839705366538057,499.14285714285717,499.14285714285717,819.4619084973235
26 April,Maharashtra,7.3421683845933,1111,0.15720956558652893,611.0,611.0,876.849903060414
