state,dates,retail,grocery,parks,transit,workplace,residential,average_mobility
Andaman and Nicobar Islands,02 June,-71,,-61,-27,-15,14,
Andaman and Nicobar Islands,03 June,-71,,-64,-22,-14,14,
Andaman and Nicobar Islands,04 June,-69,,-62,-21,-13,12,
Andaman and Nicobar Islands,05 June,-71,,-70,-24,-16,12,
Andhra Pradesh,15 February,-1,-1,5,5,4,0,1.75
Andhra Pradesh,16 February,-1,1,4,4,-1,1,0.75
Andhra Pradesh,17 February,-1,-1,4,3,6,0,1.75
Andhra Pradesh,18 February,-1,1,4,2,5,0,1.75
Andhra Pradesh,19 February,-2,0,4,0,4,0,0.5
Andhra Pradesh,20 February,0,5,5,6,4,0,3.75
Andhra Pradesh,21 February,-3,-6,18,0,-31,6,-10.0
Andhra Pradesh,22 February,-3,-6,18,0,-31,6,-10.0
Andhra Pradesh,23 February,-3,-6,18,0,-31,6,-10.0
Andhra Pradesh,24 February,0,-1,4,4,6,0,2.25
Andhra Pradesh,25 February,1,0,5,2,5,0,2.0
Andhra Pradesh,26 February,0,-2,6,2,2,-1,0.5
Andhra Pradesh,27 February,1,0,4,2,4,0,1.75
Andhra Pradesh,28 February,0,-2,4,1,5,1,1.0
Andhra Pradesh,29 February,0,-2,4,1,5,1,1.0
Andhra Pradesh,01 March,0,-2,4,1,5,1,1.0
Andhra Pradesh,02 March,0,1,4,1,9,1,2.75
Andhra Pradesh,03 March,0,2,5,0,7,0,2.25
Andhra Pradesh,04 March,0,5,6,0,6,0,2.75
Andhra Pradesh,05 March,0,5,4,0,5,1,2.5
Andhra Pradesh,06 March,0,4,5,0,7,2,2.75
Andhra Pradesh,07 March,0,4,5,0,7,2,2.75
Andhra Pradesh,08 March,0,4,5,0,7,2,2.75
Andhra Pradesh,09 March,1,3,9,1,4,1,2.25
Andhra Pradesh,10 March,0,4,9,0,-1,1,0.75
Andhra Pradesh,11 March,-2,1,5,-1,2,-1,0.0
Andhra Pradesh,12 March,-1,1,4,-2,2,1,0.0
Andhra Pradesh,13 March,-4,-1,3,-2,3,1,-1.0
Andhra Pradesh,14 March,-4,-1,3,-2,3,1,-1.0
Andhra Pradesh,15 March,-4,-1,3,-2,3,1,-1.0
Andhra Pradesh,16 March,-4,1,2,-2,5,2,0.0
Andhra Pradesh,17 March,-4,1,4,-4,2,2,-1.25
Andhra Pradesh,18 March,-4,2,5,-3,0,1,-1.25
Andhra Pradesh,19 March,-4,7,2,2,-8,2,-0.75
Andhra Pradesh,20 March,-11,13,-4,-6,-12,5,-4.0
Andhra Pradesh,21 March,-11,13,-4,-6,-12,5,-4.0
Andhra Pradesh,22 March,-11,13,-4,-6,-12,5,-4.0
Andhra Pradesh,23 March,-51,-13,-26,-46,-36,17,-36.5
Andhra Pradesh,24 March,-68,-45,-39,-59,-54,23,-56.5
Andhra Pradesh,25 March,-76,-60,-47,-68,-67,29,-67.75
Andhra Pradesh,26 March,-74,-56,-46,-66,-60,28,-64.0
Andhra Pradesh,27 March,-74,-56,-46,-66,-59,29,-63.75
Andhra Pradesh,28 March,-74,-56,-46,-66,-59,29,-63.75
Andhra Pradesh,29 March,-74,-56,-46,-66,-59,29,-63.75
Andhra Pradesh,30 March,-73,-59,-45,-66,-56,28,-63.5
Andhra Pradesh,31 March,-72,-56,-43,-64,-55,25,-61.75
Andhra Pradesh,01 April,-74,-58,-44,-65,-57,26,-63.5
Andhra Pradesh,02 April,-75,-61,-47,-67,-60,29,-65.75
Andhra Pradesh,03 April,-74,-60,-45,-66,-56,28,-64.0
Andhra Pradesh,04 April,-74,-60,-45,-66,-56,28,-64.0
Andhra Pradesh,05 April,-74,-60,-45,-66,-56,28,-64.0
Andhra Pradesh,06 April,-74,-60,-43,-65,-54,28,-63.25
Andhra Pradesh,07 April,-77,-48,-42,-58,-56,26,-59.75
Andhra Pradesh,08 April,-77,-48,-43,-59,-55,26,-59.75
Andhra Pradesh,09 April,-78,-50,-44,-60,-56,28,-61.0
Andhra Pradesh,10 April,-78,-50,-44,-60,-60,30,-62.0
Andhra Pradesh,11 April,-78,-50,-44,-60,-60,30,-62.0
Andhra Pradesh,12 April,-78,-50,-44,-60,-60,30,-62.0
Andhra Pradesh,13 April,-77,-51,-44,-61,-53,28,-60.5
Andhra Pradesh,14 April,-78,-50,-43,-60,-58,27,-61.5
Andhra Pradesh,15 April,-77,-46,-42,-58,-52,26,-58.25
Andhra Pradesh,16 April,-84,-39,-58,-57,-54,27,-58.5
Andhra Pradesh,17 April,-85,-40,-58,-57,-53,28,-58.75
Andhra Pradesh,18 April,-85,-40,-58,-57,-53,28,-58.75
Andhra Pradesh,19 April,-85,-40,-58,-57,-53,28,-58.75
Andhra Pradesh,20 April,-86,-47,-60,-60,-51,28,-61.0
Andhra Pradesh,21 April,-85,-44,-59,-58,-52,26,-59.75
Andhra Pradesh,22 April,-86,-45,-60,-60,-53,27,-61.0
Andhra Pradesh,23 April,-85,-44,-61,-59,-53,28,-60.25
Andhra Pradesh,24 April,-85,-43,-61,-59,-52,29,-59.75
Andhra Pradesh,25 April,-85,-43,-61,-59,-52,29,-59.75
Andhra Pradesh,26 April,-85,-43,-61,-59,-52,29,-59.75
Andhra Pradesh,27 April,-86,-48,-62,-61,-51,29,-61.5
Andhra Pradesh,28 April,-85,-44,-60,-58,-51,25,-59.5
Andhra Pradesh,29 April,-85,-43,-60,-58,-51,26,-59.25
Andhra Pradesh,30 April,-85,-42,-60,-58,-50,28,-58.75
Andhra Pradesh,01 May,-85,-42,-61,-58,-54,29,-59.75
Andhra Pradesh,02 May,-85,-42,-61,-58,-54,29,-59.75
Andhra Pradesh,03 May,-85,-42,-61,-58,-54,29,-59.75
Andhra Pradesh,04 May,-81,-35,-59,-54,-44,25,-53.5
Andhra Pradesh,05 May,-80,-32,-58,-52,-45,24,-52.25
Andhra Pradesh,06 May,-79,-28,-58,-50,-43,24,-50.0
Andhra Pradesh,07 May,-79,-28,-58,-50,-43,24,-50.0
Andhra Pradesh,08 May,-79,-27,-58,-49,-42,25,-49.25
Andhra Pradesh,09 May,-79,-27,-58,-49,-42,25,-49.25
Andhra Pradesh,10 May,-79,-27,-58,-49,-42,25,-49.25
Andhra Pradesh,11 May,-79,-29,-58,-50,-39,24,-49.25
Andhra Pradesh,12 May,-78,-27,-57,-48,-40,23,-48.25
Andhra Pradesh,13 May,-78,-27,-57,-48,-39,22,-48.0
Andhra Pradesh,14 May,-77,-26,-58,-48,-39,22,-47.5
Andhra Pradesh,15 May,-77,-25,-58,-47,-38,24,-46.75
Andhra Pradesh,16 May,-77,-25,-58,-47,-38,24,-46.75
Andhra Pradesh,17 May,-77,-25,-58,-47,-38,24,-46.75
Andhra Pradesh,18 May,-76,-23,-57,-46,-34,22,-44.75
Andhra Pradesh,19 May,-75,-22,-56,-45,-35,21,-44.25
Andhra Pradesh,20 May,-74,-19,-53,-44,-34,21,-42.75
Andhra Pradesh,21 May,-73,-19,-54,-43,-33,22,-42.0
Andhra Pradesh,22 May,-73,-18,-55,-43,-31,22,-41.25
Andhra Pradesh,23 May,-73,-18,-55,-43,-31,22,-41.25
Andhra Pradesh,24 May,-73,-18,-55,-43,-31,22,-41.25
