dates,state,cum_positive_cases,cum_positivity_rate,cum_recovered,cum_deceased,daily_positive_cases,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,daily_tests,cum_tested,test_per_million,daily_cases_per_million,daily_tests_per_million,daily_tests_ma,daily_deceased_ma
03 August,Ludhiana,3714,7.153863934047307,2269,115,190,,160.42857142857142,,,51916,14838.488952734113,192.64083431201928,,,7.285714285714286
04 August,Ludhiana,3935,7.5795515833269125,2460,122,221,,173.0,,,51916,14838.488952734113,139.47882365618014,,,7.428571428571429
05 August,Ludhiana,4236,8.159334309268818,2460,131,301,,202.42857142857142,,,51916,14838.488952734113,240.37231699763828,,,7.428571428571429
06 August,Ludhiana,4426,8.525310116341783,2821,144,190,,209.14285714285714,,,51916,14838.488952734113,295.8208657462017,,,8.714285714285714
07 August,Ludhiana,4720,9.091609523075737,2821,152,294,,215.57142857142858,,,51916,14838.488952734113,296.9641347925638,,,9.0
08 August,Ludhiana,4888,9.415209184066569,3075,164,168,,215.85714285714286,,,51916,14838.488952734113,285.24562706735196,,,9.285714285714286
09 August,Ludhiana,5203,10.021958548424378,3165,173,315,,239.85714285714286,,,51916,14838.488952734113,278.6718300507697,,,9.428571428571429
10 August,Ludhiana,5448,10.493874720702674,3165,178,245,,247.71428571428572,,,51916,14838.488952734113,281.81581992826557,,,9.0
11 August,Ludhiana,5701,10.9812004006472,3681,189,253,,252.28571428571428,,,51916,14838.488952734113,285.81726159053306,,,9.571428571428571
12 August,Ludhiana,5930,11.422297557593035,3871,202,229,,242.0,,,51916,14838.488952734113,291.5336068223437,,,10.142857142857142
13 August,Ludhiana,6146,11.838354264581247,4031,209,216,,245.71428571428572,,,51916,14838.488952734113,293.5343276534774,,,9.285714285714286
14 August,Ludhiana,6438,12.400801294398644,4031,216,292,,245.42857142857142,,,51916,14838.488952734113,307.8251907330041,,,9.142857142857142
15 August,Ludhiana,6560,6.854109853827748,4304,228,122,0.27858333523622497,238.85714285714286,0.27858333523622497,43793,95709,27355.284289568328,293.820144915068,5189.298201437718,43793.0,9.142857142857142
16 August,Ludhiana,6874,6.988044892648015,4398,242,314,11.808950733358406,238.71428571428572,0.9386032894170326,2659,98368,28115.272388137553,332.977109752971,3110.549257889771,23226.0,9.857142857142858
17 August,Ludhiana,7094,7.016953846762547,4549,256,220,8.058608058608058,235.14285714285714,1.3338213167418975,2730,101098,28895.55351227971,425.5819025083037,3312.622061834278,16394.0,11.142857142857142
18 August,Ludhiana,7577,7.494708105007023,4761,264,483,,268.0,1.3338213167418975,,101098,28895.55351227971,487.3184310118588,,16394.0,10.714285714285714
19 August,Ludhiana,8012,7.9249836792023585,4761,271,435,,297.42857142857144,1.3338213167418975,,101098,28895.55351227971,481.03045125686714,,16394.0,9.857142857142858
20 August,Ludhiana,8410,7.643578394394103,4761,281,398,4.457386045469818,323.42857142857144,1.8137701984133814,8929,110027,31447.61584102158,497.60785242911805,5799.232237671916,14527.75,10.285714285714286
21 August,Ludhiana,8580,7.7980859243640195,4761,289,170,,306.0,1.8137701984133814,,110027,31447.61584102158,429.5833441705712,,14527.75,10.428571428571429
22 August,Ludhiana,8932,7.678156967248345,4761,304,352,5.5846422338568935,338.85714285714283,6.226662140536346,6303,116330,33249.12204082671,376.1355162531415,6319.419653766686,5155.25,10.857142857142858
23 August,Ludhiana,9170,7.8827473566577835,5944,313,238,,328.0,5.400289500055673,,116330,33249.12204082671,324.68840916684553,,5987.333333333333,10.142857142857142
24 August,Ludhiana,9147,7.54267337346417,6451,324,-23,-0.46558704453441296,293.2857142857143,3.6040055522506447,4940,121270,34661.05931308394,430.15497869375224,3559.5681758484984,6724.0,9.714285714285714
25 August,Ludhiana,9322,7.686979467304362,6638,335,175,,249.28571428571428,3.6040055522506447,,121270,34661.05931308394,369.5617192365592,,6724.0,10.142857142857142
26 August,Ludhiana,9794,8.076193617547622,6881,347,472,,254.57142857142858,3.6040055522506447,,121270,34661.05931308394,432.4415167864765,,6724.0,10.857142857142858
