dates,state,rt_point,rt_sd,rt_l95,rt_u95,rt_l50,rt_u50,cases_mean,cases_sd,cases_dates
09 July,jh,1.393363482559953,0.046040135495767395,1.3031266585936687,1.4836003065262373,1.3623098715694129,1.4244170935504932,76.6,10.901376059929316,07-03-2020
10 July,jh,1.414774245381069,0.04522583510457406,1.326133417609508,1.50341507315263,1.3842698718613848,1.4452786189007532,101.9,11.40570032922135,07-04-2020
11 July,jh,1.392283445659834,0.0436420743897888,1.3067467255388237,1.4778201657808445,1.3628473029046655,1.4217195884150027,129.5,11.49130105775669,07-05-2020
12 July,jh,1.353077101978197,0.04092776002819194,1.272860329433342,1.4332938745230521,1.325471737116782,1.3806824668396123,154.9,11.246777316191515,07-06-2020
13 July,jh,1.3137364426259501,0.03789650803385749,1.2394608027399108,1.3880120825119895,1.2881756269221936,1.3392972583297067,155.4,16.965848048358797,07-07-2020
14 July,jh,1.273630071816274,0.034965124580024924,1.2050998262444084,1.3421603173881398,1.250046444938293,1.297213698694255,186.4,8.175573374387879,07-08-2020
15 July,jh,1.248592663854874,0.03254075277093003,1.184814090053962,1.3123712376557861,1.2266442515184095,1.2705410761913387,182.0,12.409673645990857,07-09-2020
16 July,jh,1.255234208346581,0.031043100160562935,1.1943909737558842,1.316077442937278,1.234295947719283,1.2761724689738791,176.1,17.1665372163404,07-10-2020
17 July,jh,1.273599559359813,0.030461437603951386,1.2138963601135726,1.3333027586060535,1.2530536243103239,1.2941454944093023,219.8,29.637138863257363,07-11-2020
18 July,jh,1.275966514583902,0.0300409358994988,1.2170874818583204,1.3348455473094838,1.2557042037290491,1.296228825438755,269.3,12.04200979903272,07-12-2020
19 July,jh,1.263398576430016,0.02917938416227707,1.2062081506473195,1.3205890022127125,1.2437173736064018,1.2830797792536301,277.9,15.391231269784754,07-13-2020
20 July,jh,1.241574543256899,0.027911673531297237,1.1868687796024977,1.2962803069113003,1.2227483985767742,1.2604006879370238,282.7,16.352675622050356,07-14-2020
21 July,jh,1.230905410824434,0.02660503453316338,1.178760607340815,1.2830502143080529,1.2129605810821606,1.2488502405667072,266.5,16.014056325615943,07-15-2020
22 July,jh,1.2404818223645726,0.025841783350968775,1.1898329606680078,1.2911306840611374,1.2230517979121778,1.2579118468169674,277.7,10.28639878674748,07-16-2020
23 July,jh,1.264292923845566,0.025742417166775965,1.213838815895372,1.3147470317957601,1.2469299208907474,1.2816559268003846,276.5,25.448968544913562,07-17-2020
24 July,jh,1.266479317965993,0.025736841920787318,1.2160361372749267,1.3169224986570593,1.2491200754588412,1.2838385604731448,315.3,34.60650227919603,07-18-2020
25 July,jh,1.2388754521184722,0.024941889324563486,1.1899903467179007,1.2877605575190436,1.2220523971879473,1.255698507048997,399.0,35.10840355242602,07-19-2020
26 July,jh,1.2163440793355171,0.023544165882499937,1.1701984559724525,1.2624897026985817,1.2004637748894298,1.2322243837816045,449.5,20.795432190748045,07-20-2020
27 July,jh,1.2464112817420703,0.02285703797978849,1.201612401583204,1.2912101619009366,1.2309944381950828,1.2618281252890577,442.9,18.533483212823217,07-21-2020
28 July,jh,1.268914380684975,0.02328655948042083,1.2232736555657293,1.3145551058042206,1.253207829181026,1.284620932188924,424.5,18.304371062672434,07-22-2020
20 March,ct,2.513647043209552,1.221252499444633,0.12004099439804916,4.907253092021055,1.6899244448591415,3.3373696415599627,0.0,0.0,03-14-2020
21 March,ct,2.371618585630734,1.0605675332857076,0.29294864309207824,4.45028852816939,1.656276390104857,3.086960781156611,0.1,0.30000000000000004,03-15-2020
22 March,ct,2.2415032861206847,0.916051260556127,0.44607945748109823,4.036927114760271,1.6236358713881827,2.859370700853187,0.3,0.45825756949558394,03-16-2020
23 March,ct,2.131948709690453,0.8006286772324314,0.562748527461977,3.701148891918929,1.5919326731839503,2.671964746196956,0.5,0.5,03-17-2020
24 March,ct,1.700015910196053,0.6240256032490388,0.47695068885206693,2.923081131540039,1.2791168810606088,2.120914939331497,0.1,0.30000000000000004,03-18-2020
25 March,ct,1.6749428358060872,0.5814192358094153,0.5353843903890656,2.8145012812231087,1.2827813754449946,2.0671042961671797,0.1,0.30000000000000004,03-19-2020
26 March,ct,1.6003084515545907,0.5361095757344301,0.5495551274981372,2.651061775611044,1.2387079038174749,1.9619089992917065,0.2,0.4000000000000001,03-20-2020
27 March,ct,1.3916557846575661,0.47369484012176155,0.46323284581251833,2.320078723502614,1.072153351943839,1.7111582173712931,0.5,0.6708203932499369,03-21-2020
28 March,ct,1.2110295701561813,0.43324754109739755,0.36188171950692605,2.0601774208054366,0.9188084361613976,1.503250704150965,1.0,0.6324555320336759,03-22-2020
29 March,ct,1.1326601485826697,0.4218959115556634,0.3057610377700317,1.9595592593953077,0.8480955751974903,1.417224721967849,1.0,0.4472135954999579,03-23-2020
30 March,ct,0.9851498930778341,0.4013324406664373,0.19855436266924364,1.7717454234864245,0.7144551751727288,1.2558446109829393,1.3,1.1874342087037917,03-24-2020
31 March,ct,0.9404840261192318,0.41188178059262054,0.13321221142891926,1.7477558408095444,0.6626738839273152,1.2182941683111483,1.6,1.42828568570857,03-25-2020
01 April,ct,1.054205110328213,0.4571514398322312,0.15820657431463325,1.9502036463417929,0.7458610356757714,1.3625491849806548,0.2,0.4000000000000001,03-26-2020
02 April,ct,0.9948506009684615,0.45172937329150736,0.10947909849203874,1.880222103444884,0.6901636559770726,1.2995375459598502,0.9,0.5385164807134504,03-27-2020
03 April,ct,1.2577956256608371,0.5277179946570223,0.2234894648528598,2.2921017864688142,0.9018551154446222,1.6137361358770521,0.8,0.7483314773547883,03-28-2020
04 April,ct,1.7704735430089769,0.6234945672643742,0.548449130953494,2.9924979550644597,1.349932692334829,2.191014393683125,0.2,0.4000000000000001,03-29-2020
05 April,ct,2.009504743628381,0.6067694700481907,0.8202608531127291,3.1987486341440325,1.6002448037755768,2.418764683481185,0.2,0.4000000000000001,03-30-2020
06 April,ct,2.085677623407243,0.5519363945274983,1.0039043675891275,3.167450879225359,1.7134020446623908,2.4579532021520953,0.4,0.48989794855663565,03-31-2020
07 April,ct,1.9815452230313937,0.46677687967180725,1.0666812099498384,2.896409236112949,1.6667088854615564,2.296381560601231,0.1,0.30000000000000004,04-01-2020
08 April,ct,1.8129444545734608,0.39788719538066686,1.033101467115169,2.5927874420317525,1.5445735201611548,2.0813153889857667,0.8,0.6000000000000001,04-02-2020
09 April,ct,1.6207851905430708,0.33930278626851956,0.9557653015682233,2.2858050795179183,1.391928854232817,1.8496415268533246,0.3,0.45825756949558405,04-03-2020
10 April,ct,1.4377130969975702,0.29643083488196176,0.8567205178623205,2.0187056761328197,1.2377734631780357,1.6376527308171047,0.4,0.66332495807108,04-04-2020
11 April,ct,1.279050210059831,0.2666875286116333,0.7563533214821743,1.801747098637488,1.0991721388865705,1.4589282812330917,1.7,1.004987562112089,04-05-2020
12 April,ct,1.1428574621056071,0.2461700492950963,0.6603740122891901,1.6253409119220241,0.9768182255565576,1.3088966986546566,2.7,1.5524174696260025,04-06-2020
13 April,ct,0.9942254306799793,0.22948615489741037,0.5444417465272509,1.4440091148327077,0.8394393140632249,1.1490115472967335,3.3,0.6403124237432849,04-07-2020
14 April,ct,0.8298310570368438,0.21506271988567788,0.4083167285697106,1.251345385503977,0.684773403101153,0.9748887109725346,3.9,2.118962010041709,04-08-2020
15 April,ct,0.6750642582660241,0.20351498381297684,0.27618303059194205,1.073945485940106,0.5377954368340094,0.8123330796980388,3.9,1.57797338380595,04-09-2020
16 April,ct,0.5291731015473177,0.19626227620908707,0.14450689066855538,0.91383931242608,0.39679615886705055,0.6615500442275848,3.7,1.9000000000000001,04-10-2020
