dates,state,cum_positive_cases,cum_positivity_rate,cum_recovered,cum_deceased,daily_deceased,daily_positive_cases,daily_positivity_rate,daily_positive_cases_ma,daily_positivity_rate_ma,daily_tests,cum_tested,test_per_million,daily_cases_per_million,daily_tests_per_million,daily_tests_ma,daily_deceased_ma
12 July,Manipur,1609,2.5325022822425787,896,,,16,0.9773976786805131,39.0,2.823031961198856,1637,63534,20550.88960374182,,,1608.2,1.0
13 July,Manipur,1626,2.5592596090282367,970,,,17,,35.57142857142857,2.823031961198856,,63534,20550.88960374182,,,1608.2,1.0
14 July,Manipur,1672,2.6316617873894295,1020,,,46,,38.714285714285715,3.4175084175084174,,63534,20550.88960374182,,,1485.0,1.0
15 July,Manipur,1700,2.580997783378374,1080,,,28,1.2006861063464838,37.0,2.695075490334415,2332,65866,21305.205002676656,,,1771.75,1.0
16 July,Manipur,1764,2.678164758752619,1129,,,64,,45.42857142857143,2.695075490334415,,65866,21305.205002676656,,,1771.75,1.0
17 July,Manipur,1800,2.6256673571199345,1163,,,36,1.3392857142857142,48.42857142857143,2.716555612506407,2688,68554,22174.67318120875,,,1951.0,1.0
18 July,Manipur,1891,2.693924068665859,1182,,,91,5.54539914686167,42.57142857142857,2.0607375271149673,1641,70195,22705.475741093855,,,2074.5,1.0
19 July,Manipur,1911,2.6909428861101725,1235,,,20,2.43605359317905,43.142857142857146,2.338946805666934,821,71016,22971.038752468427,,,1870.5,1.0
20 July,Manipur,1925,2.6846854385451095,1320,,,14,2.037845705967977,42.714285714285715,2.3136246786632393,687,71703,23193.257740062007,,,1633.8,1.0
21 July,Manipur,2015,2.758271392003066,1384,,,90,6.666666666666667,49.0,2.9309801449732116,1350,73053,23629.932606512277,,,1586.5,1.0
22 July,Manipur,2060,2.788833834240381,1418,,,45,5.535055350553505,51.42857142857143,3.7,813,73866,23892.907914974552,,,1333.3333333333333,1.0
23 July,Manipur,2115,2.8345886830889646,1460,,,55,7.352941176470588,50.142857142857146,4.012345679012346,748,74614,24134.858137274405,,,1249.7142857142858,1.0
24 July,Manipur,2146,2.8262129273560554,1491,,,31,2.3520485584218513,49.42857142857143,4.68961778259691,1318,75932,24561.182192075485,,,1054.0,1.0
25 July,Manipur,2176,2.826267664172901,1520,,,30,2.830188679245283,40.714285714285715,4.193026335147859,1060,76992,24904.052827954954,,,971.0,1.0
26 July,Manipur,2235,2.851929358922009,1521,,,59,4.287790697674419,46.285714285714285,4.4069640914037,1376,78368,25349.13772887019,,,1050.2857142857142,1.0
27 July,Manipur,2286,2.8555368184373244,1559,,,51,3.023117960877297,51.57142857142857,4.322318007662835,1687,80055,25894.81958050101,,,1193.142857142857,1.0
